,Player,Club,Goals
0,Cristiano Ronaldo,Real Madrid CF,105
1,Cristiano Ronaldo,Juventus,14
2,Cristiano Ronaldo,Manchester United FC,21
3,Lionel Messi,FC Barcelona,120
4,Lionel Messi,Paris Saint-Germain,5
5,Robert Lewandowski,Borussia Dortmund,17
6,Robert Lewandowski,FC Bayern München,69
7,Karim Benzema,Olympique Lyonnais,12
8,Karim Benzema,Real Madrid CF,71
9,Raúl González,Real Madrid CF,66
10,Raúl González,FC Schalke 04,5
11,Ruud van Nistelrooy,PSV Eindhoven,8
12,Ruud van Nistelrooy,Manchester United FC,35
13,Ruud van Nistelrooy,Real Madrid CF,13
14,Thomas Müller,FC Bayern München,52
15,Thierry Henry,AS Monaco FC,7
16,Thierry Henry,Arsenal FC,35
17,Thierry Henry,FC Barcelona,8
18,Zlatan Ibrahimović,AFC Ajax,6
19,Zlatan Ibrahimović,Juventus,3
20,Zlatan Ibrahimović,FC Internazionale Milano,6
21,Zlatan Ibrahimović,FC Barcelona,4
22,Zlatan Ibrahimović,Paris Saint-Germain,20
23,Zlatan Ibrahimović,Manchester United FC,0
24,Zlatan Ibrahimović,AC Milan,9
25,Andriy Shevchenko,AC Milan,29
26,Andriy Shevchenko,Chelsea FC,4
27,Andriy Shevchenko,FC Dynamo Kyiv,15
28,Filippo Inzaghi,Juventus,17
29,Filippo Inzaghi,AC Milan,29
30,Didier Drogba,Olympique de Marseille,5
31,Didier Drogba,Galatasaray AŞ,3
32,Didier Drogba,Chelsea FC,36
33,Alessandro Del Piero,Juventus,42
34,Sergio Agüero,Club Atlético de Madrid,5
35,Sergio Agüero,Manchester City FC,36
36,Sergio Agüero,FC Barcelona,0
37,Neymar,FC Barcelona,21
38,Neymar,Paris Saint-Germain,20
39,Mohamed Salah,FC Basel 1893,2
40,Mohamed Salah,Chelsea FC,0
41,Mohamed Salah,AS Roma,1
42,Mohamed Salah,Liverpool FC,33
43,Edinson Cavani,SSC Napoli,5
44,Edinson Cavani,Paris Saint-Germain,30
45,Edinson Cavani,Manchester United FC,0
46,Kylian Mbappé,AS Monaco FC,6
47,Kylian Mbappé,Paris Saint-Germain,27
48,Fernando Morientes,Real Madrid CF,17
49,Fernando Morientes,AS Monaco FC,9
50,Fernando Morientes,Liverpool FC,1
51,Fernando Morientes,Valencia CF,6
52,Arjen Robben,PSV Eindhoven,3
53,Arjen Robben,Chelsea FC,2
54,Arjen Robben,Real Madrid CF,1
55,Arjen Robben,FC Bayern München,25
56,Samuel Eto’o,RCD Mallorca,1
57,Samuel Eto’o,FC Barcelona,16
58,Samuel Eto’o,FC Internazionale Milano,10
59,Samuel Eto’o,Chelsea FC,3
60,Kaká,Real Madrid CF,5
61,Kaká,AC Milan,25
62,Wayne Rooney,Manchester United FC,30
63,Antoine Griezmann,FC Barcelona,4
64,Antoine Griezmann,Club Atlético de Madrid,25
65,Patrick Kluivert,AFC Ajax,9
66,Patrick Kluivert,FC Barcelona,20
67,Roy Makaay,Real Club Deportivo La Coruña,12
68,Roy Makaay,FC Bayern München,17
69,David Trezeguet,AS Monaco FC,4
70,David Trezeguet,Juventus,25
71,Ryan Giggs,Manchester United FC,28
72,Rivaldo,FC Barcelona,22
73,Rivaldo,AC Milan,2
74,Rivaldo,Olympiacos FC,3
75,Luis Suárez,AFC Ajax,1
76,Luis Suárez,FC Barcelona,25
77,Luis Suárez,Club Atlético de Madrid,1
78,Mario Gomez,VfB Stuttgart,3
79,Mario Gomez,FC Bayern München,23
80,Jardel,FC Porto,19
81,Jardel,Galatasaray AŞ,6
82,Hernán Crespo,Parma FC,2
83,Hernán Crespo,SS Lazio,2
84,Hernán Crespo,AC Milan,6
85,Hernán Crespo,Chelsea FC,4
86,Hernán Crespo,FC Internazionale Milano,11
87,Giovane Elber,FC Bayern München,22
88,Giovane Elber,Olympique Lyonnais,3
89,Edin Džeko,VfL Wolfsburg,4
90,Edin Džeko,Manchester City FC,3
91,Edin Džeko,AS Roma,15
92,Edin Džeko,FC Internazionale Milano,3
93,Robin van Persie,Arsenal FC,18
94,Robin van Persie,Manchester United FC,7
